# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,butterworth,1,zoh,0.000000e+00,0.000000e+00,0.000000e+00
constfilt,butterworth,2,zoh,3.608225e-16,2.220446e-16,1.110223e-15
constfilt,butterworth,3,zoh,9.020562e-16,1.776357e-15,7.771561e-15
constfilt,butterworth,4,zoh,8.971990e-15,8.881784e-16,1.587619e-14
constfilt,butterworth,5,zoh,6.945833e-15,3.552714e-15,1.809664e-14
constfilt,butterworth,6,zoh,3.284352e-14,1.598721e-14,6.572520e-14
constfilt,butterworth,7,zoh,1.100200e-11,4.796163e-14,1.254094e-12
constfilt,butterworth,8,zoh,2.955275e-08,5.062617e-13,2.134253e-09
constfilt,butterworth,9,zoh,7.577398e-05,8.526513e-13,3.692378e-06
constfilt,butterworth,10,zoh,2.065719e-01,2.030731e-11,6.461003e-03
constfilt,butterworth,11,zoh,2.543305e+02,3.566485e-08,4.685698e+00
constfilt,butterworth,12,zoh,1.799631e+03,3.915801e-10,2.955113e+02
constfilt,butterworth,1,matchedz,5.551115e-17,0.000000e+00,2.220446e-16
constfilt,butterworth,2,matchedz,2.775558e-17,2.220446e-16,1.110223e-15
constfilt,butterworth,3,matchedz,1.387779e-17,1.776357e-15,1.998401e-15
constfilt,butterworth,4,matchedz,3.122502e-17,1.776357e-15,9.103829e-15
constfilt,butterworth,5,matchedz,4.163336e-17,4.884981e-15,1.709743e-14
constfilt,butterworth,6,matchedz,2.168404e-17,4.884981e-14,1.030287e-13
constfilt,butterworth,7,matchedz,1.170938e-17,9.414691e-14,3.456124e-13
constfilt,butterworth,8,matchedz,6.505213e-19,2.664535e-14,9.876544e-13
constfilt,butterworth,9,matchedz,6.179952e-18,6.927792e-13,1.509015e-12
constfilt,butterworth,10,matchedz,1.523304e-16,5.579892e-11,1.363021e-11
constfilt,butterworth,11,matchedz,2.168404e-19,1.847411e-13,4.028200e-11
constfilt,butterworth,12,matchedz,9.662952e-17,3.253149e-10,1.482581e-10
constfilt,butterworth,1,prewarp,8.326673e-17,2.220446e-16,2.220446e-16
constfilt,butterworth,2,prewarp,1.249001e-16,0.000000e+00,2.331468e-15
constfilt,butterworth,3,prewarp,1.283695e-16,2.442491e-15,1.776357e-15
constfilt,butterworth,4,prewarp,1.630640e-16,3.108624e-15,1.432188e-14
constfilt,butterworth,5,prewarp,1.647987e-16,8.881784e-16,2.930989e-14
constfilt,butterworth,6,prewarp,1.231654e-16,1.154632e-14,1.159073e-13
constfilt,butterworth,7,prewarp,2.493665e-16,2.664535e-14,1.717515e-13
